objects_actual,fifo_miss_ratio,lru_miss_ratio,sieve_miss_ratio,sieve_vs_fifo_percent,sieve_vs_lru_percent
9999,0.8955,0.8947,0.8917,0.42434394193187214,0.33530792444394797
10000,0.8954,0.8947,0.8918,0.40205494750948595,0.32413099362915093
10007,0.4668,0.432,0.3708,20.565552699228785,14.16666666666666
10014,0.4663,0.4316,0.3706,20.52326828222175,14.13345690454124
10019,0.4679,0.4333,0.3712,20.66680914725369,14.33187168243712
13104,0.6215,0.5909,0.5164,16.910699919549486,12.607886275173467
13142,0.6214,0.5907,0.5161,16.945606694560663,12.629084137464025
13161,0.6202,0.5894,0.5145,17.042889390519193,12.707838479809988
13165,0.6212,0.5904,0.5171,16.757887958789436,12.415311653116536
13167,0.621,0.5903,0.5154,17.0048309178744,12.688463493139093
13184,0.6197,0.5892,0.5149,16.9114087461675,12.610319076714177
13187,0.6203,0.5894,0.515,16.975656940190223,12.623006447234477
13197,0.6198,0.589,0.5142,17.0377541142304,12.699490662139215
13206,0.6208,0.5901,0.5162,16.849226804123717,12.523301135400775
13211,0.6218,0.5909,0.5173,16.806046960437445,12.455576239634455
13221,0.6213,0.5907,0.5165,16.867857717688718,12.561367868630446
13238,0.6209,0.5902,0.516,16.89483008535996,12.572009488309039
13249,0.6217,0.591,0.5166,16.90525977159403,12.588832487309649
13272,0.6224,0.5916,0.5171,16.91838046272493,12.59296822177147
13285,0.6203,0.5896,0.515,16.975656940190223,12.652645861601087
13297,0.621,0.5904,0.5159,16.92431561996779,12.618563685636857
13307,0.6204,0.5897,0.5162,16.79561573178594,12.46396472782771
13310,0.6207,0.5901,0.5147,17.077493152891893,12.777495339772907
13314,0.6212,0.5906,0.5157,16.98325820991628,12.682018286488312
15878,0.6253,0.5947,0.5181,17.143770989924832,12.88044392130486
15975,0.622,0.5914,0.5147,17.25080385852089,12.969225566452483
15978,0.625,0.5945,0.5176,17.184000000000008,12.93523969722457
16012,0.6232,0.5925,0.5163,17.153401797175867,12.860759493670892
16034,0.6231,0.5924,0.5161,17.172203498635852,12.879810938555035
16036,0.6236,0.5929,0.517,17.09429121231559,12.801484230055655
16062,0.6226,0.5919,0.5156,17.185994217796353,12.89069099510053
16065,0.6247,0.5941,0.5181,17.064190811589565,12.792459181955893
16067,0.6244,0.5938,0.5176,17.104420243433697,12.832603570225674
16078,0.6251,0.5943,0.5177,17.181250999840017,12.889113242470133
16082,0.6215,0.5909,0.5147,17.184231697506032,12.895583008969357
16095,0.6256,0.595,0.5182,17.167519181585686,12.90756302521008
16109,0.6239,0.5934,0.5169,17.15018432441096,12.891809908998992
16126,0.6242,0.5936,0.5165,17.254085229093246,12.98854447439354
16134,0.6249,0.5945,0.5173,17.218755000800133,12.98570227081582
16138,0.6246,0.5939,0.5162,17.355107268651945,13.083010607846438
16143,0.6244,0.5936,0.5175,17.120435618193465,12.820080862533704
16174,0.6245,0.5939,0.5179,17.069655724579665,12.796767132513883
16182,0.6248,0.5942,0.5179,17.10947503201024,12.840794345338258
17134,0.7649,0.744,0.6773,11.452477448032424,8.965053763440858
17144,0.7659,0.7451,0.6769,11.620315968142066,9.153133807542616
17155,0.7652,0.7445,0.6759,11.670151594354424,9.214237743451994
17160,0.7647,0.744,0.6759,11.612397018438616,9.15322580645162
17161,0.7647,0.744,0.6765,11.533934876422133,9.07258064516129
17164,0.7652,0.7446,0.6765,11.591740721380031,9.145850120870271
17179,0.764,0.7433,0.6754,11.596858638743457,9.134938786492663
17182,0.7649,0.7441,0.677,11.491698261210614,9.017605160596686
17192,0.7655,0.7449,0.6771,11.54800783801436,9.101892871526376
17202,0.7655,0.7448,0.6776,11.48269105160026,9.02255639097745
17207,0.7637,0.7429,0.6749,11.627602461699619,9.153318077803196
17211,0.7651,0.7442,0.6755,11.710887465690762,9.231389411448534
17214,0.7647,0.7442,0.6765,11.533934876422133,9.097016930932543
17228,0.7649,0.7443,0.6764,11.570139887567004,9.122665591831245
17240,0.7643,0.7435,0.6751,11.670809891403893,9.199731002017487
17255,0.7641,0.7434,0.6741,11.778563015312129,9.322033898305074
17272,0.7663,0.7458,0.6778,11.54900169646353,9.117725931885232
17293,0.7666,0.746,0.6787,11.466214453430732,9.021447721179628
18017,0.6291,0.5987,0.5224,16.960737561595934,12.744279271755477
